id,date,transaction_type,amount,account_id,category_id,to_account_id,description,memo,recurrence,created_at,updated_at
1,2024-01-25,1,4500000,2,1,,1월 급여,정기급여,3,2024-01-25T09:00:00,
2,2024-01-26,2,850000,2,13,,1월 월세,,3,2024-01-26T10:00:00,
3,2024-01-26,2,150000,2,14,,1월 관리비,,3,2024-01-26T10:05:00,
4,2024-01-27,2,65000,3,15,,휴대폰 요금,KT 요금제,3,2024-01-27T00:00:00,
5,2024-01-27,2,35000,3,17,,인터넷 요금,SK브로드밴드,3,2024-01-27T00:00:00,
6,2024-01-28,2,45000,1,6,,마트 장보기,이마트,0,2024-01-28T14:30:00,
7,2024-01-28,2,12000,5,5,,점심 외식,김밥천국,0,2024-01-28T12:30:00,
8,2024-01-29,2,5500,5,7,,커피,스타벅스 아메리카노,0,2024-01-29T09:00:00,
9,2024-01-29,2,1450,4,9,,지하철,출퇴근,0,2024-01-29T08:30:00,
10,2024-01-30,2,28000,3,18,,영화 관람,CGV 2인,0,2024-01-30T19:00:00,
11,2024-01-31,3,500000,2,22,6,적금 이체,월 적금,3,2024-01-31T10:00:00,
12,2024-02-01,2,32000,1,6,,편의점/간식,,0,2024-02-01T20:00:00,
13,2024-02-02,2,85000,3,19,,옷 구매,유니클로,0,2024-02-02T15:00:00,
14,2024-02-03,2,15000,5,5,,저녁 외식,치킨,0,2024-02-03T19:30:00,
15,2024-02-05,1,150000,4,2,,블로그 수익,애드센스,0,2024-02-05T00:00:00,
16,2024-02-07,2,55000,3,20,,병원비,감기 진료,0,2024-02-07T11:00:00,
17,2024-02-10,2,70000,4,23,,주유,SK 주유소,0,2024-02-10T18:00:00,
18,2024-02-14,2,65000,3,5,,발렌타인 데이 저녁,레스토랑,0,2024-02-14T19:00:00,
19,2024-02-15,2,29000,5,21,,온라인 강의,인프런,0,2024-02-15T21:00:00,
20,2024-02-20,1,12500,6,3,,이자 수입,적금 이자,0,2024-02-20T00:00:00,
